dataset,measure,value,region,period,typ;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw, 969907,,2024-Q1 , ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw, 966424,,2024-Q4, ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw, 963679,,2025-Q1 , ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw, 762594,,2024-Q1 , emerytury;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw, 762374,,2024-Q4 , emerytury;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw, 760307,,2025-Q1 , emerytury;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw, 167029,,2024-Q1 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw, 164905,,2024-Q4 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw, 163830,,2025-Q1 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw, 40284,,2024-Q1 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw, 39144,,2024-Q4 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw, 39541,,2025-Q1 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw,  NaN,,2024-Q1, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw,  NaN,,2024-Q4, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw,  NaN,,2025-Q1, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), 29 480,,2024-Q1 , ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), 26166,,2024-Q4, ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), 25034,,2025-Q1 , ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), NaN,,2024-Q1 , emerytury;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), NaN,,2024-Q4 , emerytury;;;
