dataset,measure,value,region,period,typ
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców, 969907,,2024-Q1 , ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców, 966424,,2024-Q4, ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców, 963679,,2025-Q1 , ogółem
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców, 762594,,2024-Q1 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców, 762374,,2024-Q4 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców, 760307,,2025-Q1 , emerytury
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców, 167029,,2024-Q1 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców, 164905,,2024-Q4 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców, 163830,,2025-Q1 , renty z tytułu niezdolności do pracy
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców, 40284,,2024-Q1 , renty rodzinne
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców, 39144,,2024-Q4 , renty rodzinne
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciętna miesięczna liczba świadczeniobiorców, 39541,,2025-Q1 , renty rodzinne
