dataset,row_name,column_name,value
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem,okres,2024-Q1 
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem,okres,2024-Q4
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem,okres,2025-Q1 
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury,okres,202-Q1 
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury,okres,2024-Q4 
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury,okres,2025-Q1 
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy,okres,2024-Q1 
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy,okres,2024-Q4 
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy,okres,2025-Q1 
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne,okres,2024-Q1 
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne,okres,2024-Q4 
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne,okres,2025-Q1 
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH,okres,2024-Q1
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH,okres,2024-Q4
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH,okres,2025-Q1
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem,  przciętna miesięczna liczba świadczeniobiorców, 969907
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem,  przciętna miesięczna liczba świadczeniobiorców, 966424
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem,  przciętna miesięczna liczba świadczeniobiorców, 963679
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury,  przciętna miesięczna liczba świadczeniobiorców, 762594
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury,  przciętna miesięczna liczba świadczeniobiorców, 762374
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury,  przciętna miesięczna liczba świadczeniobiorców, 760307
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy,  przciętna miesięczna liczba świadczeniobiorców, 167029
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy,  przciętna miesięczna liczba świadczeniobiorców, 164905
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy,  przciętna miesięczna liczba świadczeniobiorców, 163830
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne,  przciętna miesięczna liczba świadczeniobiorców, 40284
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne,  przciętna miesięczna liczba świadczeniobiorców, 39144
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne,  przciętna miesięczna liczba świadczeniobiorców, 39541
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH,  przciętna miesięczna liczba świadczeniobiorców,  NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH,  przciętna miesięczna liczba świadczeniobiorców,  NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH,  przciętna miesięczna liczba świadczeniobiorców,  NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), 29 480
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), 26166
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), 25034
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), 11186
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), 11044
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), 10946
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN
