województwo,liczba wniosków złożonych w okresie sprawozdawczym,liczba wniosków załatwionych w okresie sprawozdawczym,liczba decyzji pierwszorazowych przyznających,liczba decyzji pierwszorazowych odmownych
OGÓŁEM,93,90,36,51
dolnośląskie,6,7,3,4
kujawsko-pomorskie,10,7,5,2
lubelskie,9,8,4,4
lubuskie,1,1,-,1
łódzkie,3,4,4,-
małopolskie,19,18,7,10
mazowieckie,7,7,-,7
opolskie,-,1,-,1
podkarpackie,9,9,4,5
podlaskie,9,9,4,4
pomorskie,2,3,2,-
śląskie,1,-,-,-
świętokrzyskie,-,-,-,-
warmińsko-mazurskie,2,2,-,2
wielkopolskie,12,11,3,8
zachodniopomorskie,3,3,-,3
