województwo,Świadczenia rolne wypłacane z FER,Świadczenia realizowane przez KRUS ogółem
dolnośląskie,2080.05,2228.08
kujawsko-pomorskie,2142.83,2213.26
lubelskie,2092.48,2185.80
lubuskie,2030.23,2301.14
łódzkie,2115.03,2188.07
małopolskie,2043.20,2116.70
mazowieckie,2105.94,2163.80
opolskie,2117.12,2212.24
podkarpackie,2069.69,2150.19
podlaskie,2123.92,2182.08
pomorskie,2115.66,2215.84
śląskie,2020.23,2275.19
świętokrzyskie,2085.43,2162.15
warmińsko-mazurskie,2131.28,2226.29
wielkopolskie,2050.89,2132.56
zachodniopomorskie,2116.58,2253.25
MON,1064.55,1064.55
MSWiA,913.98,913.98
MS,835.64,835.64
