typ,2024-Q1,2024-Q4,2025-Q1
Liczba świadczeń ZASIŁKI POGRZEBOWE OGÓŁEM,11502,10135,11309
Kwota wypłat w zł ZASIŁKI POGRZEBOWE OGÓŁEM,46005437.40,40539220.60,45232174.82
Przeciętne świadczenie w zł ZASIŁKI POGRZEBOWE OGÓŁEM,3999.78,3999.92,3999.66
Liczba świadczeń ZASIŁKI POGRZEBOWE PO EMERYTACH I RENCISTACH,10341,9076,10202
Kwota wypłat w zł ZASIŁKI POGRZEBOWE PO EMERYTACH I RENCISTACH,41361437.40,36303470.60,40804174.82
Przeciętne świadczenie w zł ZASIŁKI POGRZEBOWE PO EMERYTACH I RENCISTACH,3999.75,3999.94,3999.63
Liczba świadczeń ZASIŁKI POGRZEBOWE PO INWALIDACH WOJENNYCH,766,677,734
Kwota wypłat w zł ZASIŁKI POGRZEBOWE PO INWALIDACH WOJENNYCH,3064000.00,2707750.00,2936000.00
Przeciętne świadczenie w zł ZASIŁKI POGRZEBOWE PO INWALIDACH WOJENNYCH,4000.00,3999.63,4000.00
Liczba świadczeń ZASIŁKI POGRZEBOWE PO CZŁONKACH RODZIN,395,382,373
Kwota wypłat w zł ZASIŁKI POGRZEBOWE PO CZŁONKACH RODZIN,1580000.00,1528000.00,1492000.00
Przeciętne świadczenie w zł ZASIŁKI POGRZEBOWE PO CZŁONKACH RODZIN,4000.00,4000.00,4000.00
