województwo,Ogółem,emerytury,renty razem,z tytułu niezdolności do pracy ogółem,z tytułu niezdolności do pracy w tym wypadkowe,rodzinne ogółem,rodzinne w tym wypadkowe
OGÓŁEM,962228,758857,203371,163830,10946,39541,722
dolnośląskie,35869,28810,7058,5689,416,1369,20
kujawsko-pomorskie,65947,52089,13858,11563,931,2295,53
lubelskie,121168,95403,25765,20897,1364,4869,104
lubuskie,12252,9210,3042,2518,163,523,10
łódzkie,81009,68702,12306,9508,808,2798,35
małopolskie,85927,58947,26980,23197,1117,3783,61
mazowieckie,148470,121614,26856,20241,1462,6615,105
opolskie,19055,16530,2524,1880,144,645,15
podkarpackie,53774,40412,13362,11177,574,2185,25
podlaskie,67944,54638,13306,10529,718,2777,56
pomorskie,31879,24160,7719,6276,415,1444,26
śląskie,26448,21210,5238,4276,306,962,15
świętokrzyskie,51909,41608,10301,8107,568,2193,45
warmińsko-mazurskie,34854,27010,7844,6067,450,1777,39
wielkopolskie,105021,81897,23124,18603,1266,4521,98
zachodniopomorskie,20355,16268,4087,3302,243,785,16
Emerytury finansowane z funduszu emerytalno-rentowego,348,348,-,-,-,-,-
MON,61,61,-,-,-,-,-
MSWiA,265,265,-,-,-,-,-
MS,22,22,-,-,-,-,-
