typ;Liczba wniosk¢w pozostaàych z poprzedniego okresu;Liczba zarejestrowanych wniosk¢w;Liczba zaàatwionych wniosk¢w;Liczba wniosk¢w pozostaàych do zaàatwienia w nast©pnym okresie;;;;
OG‡ùEM;11 296;91 839;79 889;23 246;;;;
Emerytury razem;1 678;10 257;8 915;3 020;;;;
Renty razem;9 618;81 582;70 974;20 226;;;;
    Renty z tytuàu niezdolnoòci do pracy ;8 094;12 236;11 733;8 597;;;;
"    Renty z tytuàu niezdolnoòci do pracy  w tym renty z tytuàu niezdolnoòci do
           pracy wypadkowe";341;514;470;385;;;;
    Renty rodzinne;1 524;69 346;59 241;11 629;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;                   
