typ ,2024-Q1,2024-Q4,2025-Q1
EMERYTURY I RENTY OG‡ùEM z tego:,5 526 089 421.00,5 940 334 227.74,6 036 176 120.71
Emerytury OG‡ùEM,4 374 512 274.70,4 717 591 212.64,4 797 203 284.42
Renty OG‡ùEM,1 151 577 146.30,1 222 743 015.10,1 238 972 836.29
EMERYTURY RAZEM ,4 374 512 274.70,4 717 591 212.64,4 797 203 284.42
Emerytury rolnicze,4 057 145 244.34,4 414 223 711.05,4 498 868 566.91
Emerytury za przekazane gospodarstwo rolne Pa‰stwu,49 043 938.82,46 587 414.09,45 948 554.59
Emerytury za przekazane gospodarstwo rolne nast©pcy,255 131 265.00,242 976 809.98,238 386 815.03
Emerytury nie zwi•zane z przekazaniem gospodarstwa rolnego,13 191 826.54,13 803 277.52,13 999 347.89
RENTY RAZEM z tego:,1 151 577 146.30,1 222 743 015.10,1 238 972 836.29
"RENTY Z TYTUùU NIEZDOLNOóCI 
DO PRACY RAZEM ",910 879 883.74,966 527 651.52,979 116 835.93
"     w tym renty z tytuàu niezdolnoòci 
     do pracy wypadkowe",61 892 309.00,65 629 938.60,66 096 211.96
Renty rolnicze z tytuàu niezdolnoòci do pracy,902 764 682.38,958 802 623.26,971 591 980.38
Renty z tytuàu niezdolnoòci do pracy za przekazane gospodarstwo rolne Pa‰stwu,484 057.51,442 754.44,443 894.28
Renty z tytuàu niezdolnoòci do pracy za przekazane gospodarstwo rolne nast©pcy,1 527 942.90,1 460 002.45,1 418 607.69
Renty z tytuàu niezdolnoòci do pracy nie zwi•zane z przekazaniem gospodarstwa rolnego,6 103 200.95,5 822 271.37,5 662 353.58
RENTY RODZINNE RAZEM,240 697 262.56,256 215 363.58,259 856 000.36
     w tym renty rodzinne wypadkowe,4 739 756.38,5 021 479.74,5 054 102.46
Renty rodzinne rolnicze,231 670 457.74,246 784 228.92,250 425 799.94
Renty rodzinne za przekazane gospodarstwo rolne Pa‰stwu,1 874 245.20,1 918 395.69,1 862 811.17
Renty rodzinne za przekazane gospodarstwo rolne nast©pcy,4 983 708.58,5 211 725.76,5 228 968.91
"Renty rodzinne nie zwi•zane 
z przekazaniem gospodarstwa rolnego",2 168 851.04,2 301 013.21,2 338 420.34
