wojew¢dztwo,og¢àem,rolnicy/wsp¢lmaàæonkowie,domownicy,stan na dzie‰
OG‡ùEM,66 214,60 349,5 865,31 marca 2025
dolnoòl•skie,2 870,2 607,263,31 marca 2025
kujawsko-pomorskie,2 987,2 805,182,31 marca 2025
lubelskie,8 026,7 585,441,31 marca 2025
lubuskie,1 091,989,102,31 marca 2025
à¢dzkie,5 883,5 416,467,31 marca 2025
maàopolskie,7 101,6 070,1 031,31 marca 2025
mazowieckie,8 894,8 301,593,31 marca 2025
opolskie,1 812,1 585,227,31 marca 2025
podkarpackie,5 098,4 716,382,31 marca 2025
podlaskie,3 637,3 324,313,31 marca 2025
pomorskie,2 092,1 851,241,31 marca 2025
òl•skie,2 899,2 646,253,31 marca 2025
òwi©tokrzyskie,3 108,2 898,210,31 marca 2025
warmi‰sko-mazurskie,1 936,1 805,131,31 marca 2025
wielkopolskie,7 199,6 256,943,31 marca 2025
zachodniopomorskie,1 581,1 495,86,31 marca 2025
