Wyszczeg¢lnienie;Og¢àem;emerytury;renty razem;"z tytuàu niezdolnoòci 
do pracy og¢àem";"z tytuàu niezdolnoòci 
do pracy  w tym wypadkowe";rodzinne og¢àem   ; rodzinne w tym wypadkowe
OG‡ùEM;6 036 176 120,71;4 797 203 284,42;1 238 972 836,29;979 116 835,93;66 096 211,96;259 856 000,36;5 054 102,46
dolnoòl•skie;223 825 619,81;181 499 605,41;42 326 014,40;33 727 780,07;2 435 157,39;8 598 234,33;130 140,28
kujawsko-pomorskie;423 938 284,20;336 950 482,18;86 987 802,02;70 418 713,17;5 792 176,76;16 569 088,85;415 038,16
lubelskie;760 625 019,44;603 048 264,12;157 576 755,32;125 809 328,52;8 313 450,53;31 767 426,80;661 762,82
lubuskie;74 621 215,25;56 381 959,91;18 239 255,34;14 903 718,32;944 538,84;3 335 537,02;61 430,49
à¢dzkie;514 006 497,04;434 944 916,72;79 061 580,32;57 080 378,36;4 846 980,76;21 981 201,96;391 177,39
maàopolskie;526 698 067,80;364 706 956,63;161 991 111,17;138 104 220,53;6 669 092,29;23 886 890,64;420 427,11
mazowieckie;938 005 753,60;775 386 105,31;162 619 648,29;120 572 946,83;8 940 169,26;42 046 701,46;718 197,44
opolskie;121 022 929,98;105 237 691,55;15 785 238,43;11 377 609,66;895 091,15;4 407 628,77;103 028,15
podkarpackie;333 884 097,55;253 774 172,89;80 109 924,66;65 830 644,91;3 335 494,97;14 279 279,75;169 224,40
podlaskie;432 924 688,73;350 441 672,20;82 483 016,53;63 251 775,80;4 383 042,58;19 231 240,73;404 879,99
pomorskie;202 337 608,70;154 833 706,79;47 503 901,91;37 886 107,72;2 545 783,17;9 617 794,19;183 357,61
òl•skie;160 292 872,69;129 253 236,24;31 039 636,45;25 120 118,22;1 767 876,06;5 919 518,23;108 023,90
òwi©tokrzyskie;324 758 451,58;262 452 228,69;62 306 222,89;48 458 334,69;3 436 924,51;13 847 888,20;279 427,45
warmi‰sko-mazurskie;222 848 593,25;174 686 105,02;48 162 488,23;36 622 865,18;2 737 769,50;11 539 623,05;266 589,24
wielkopolskie;646 160 282,41;508 504 008,02;137 656 274,39;110 422 875,51;7 603 674,62;27 233 398,88;644 505,26
zachodniopomorskie;129 248 723,46;104 124 757,52;25 123 965,94;19 529 418,44;1 448 989,57;5 594 547,50;96 892,77
Emerytury finansowane z funduszu emerytalno-rentowego, wypàacane przez MON, MSWiA, MS z tego:;977 415,22;977 415,22; -    ; -    ; -    ; -    ; -    
MON;194 812,36;194 812,36; -    ; -    ; -    ; -    ; -    
MSWiA;726 615,04;726 615,04; -    ; -    ; -    ; -    ; -    
MS;55 987,82;55 987,82; -    ; -    ; -    ; -    ; -    
