wojew¢dztwo,og¢àem,rolnicy/wsp¢lmaàæonkowie,domownicy,stan na dzie‰
OG‡ùEM,18 156,16 019,2 137,31 marca 2025
dolnoòl•skie,540,475,65,31 marca 2025
kujawsko-pomorskie,1 150,1 038,112,31 marca 2025
lubelskie,2 450,2 264,186,31 marca 2025
lubuskie,277,236,41,31 marca 2025
à¢dzkie,1 379,1 221,158,31 marca 2025
maàopolskie,2 253,1 864,389,31 marca 2025
mazowieckie,2 025,1 883,142,31 marca 2025
opolskie,521,411,110,31 marca 2025
podkarpackie,1 042,931,111,31 marca 2025
podlaskie,1 520,1 332,188,31 marca 2025
pomorskie,619,503,116,31 marca 2025
òl•skie,431,375,56,31 marca 2025
òwi©tokrzyskie,1 036,956,80,31 marca 2025
warmi‰sko-mazurskie,751,668,83,31 marca 2025
wielkopolskie,1 574,1 337,237,31 marca 2025
zachodniopomorskie,588,525,63,31 marca 2025
