typ;"Liczba wniosk¢w pozostaàych 
do zaàatwienia 
z poprzedniego 
okresu sprawozdawczego";Liczba wniosk¢w kt¢re wpàyn©ày w okresie sprawozdawczym;"Liczba wniosk¢w przekazanych 
do instytucji  zagranicznych";Liczba spraw zaàatwionych og¢àem;"Liczba spraw
w kt¢rych trwa post©powanie mi©dzynarodowe";;;;;;;;
OG‡ùEM;1 170;1 233;346;1 266;1 290;;;;;;;;
Emerytury razem;499;531;182;586;529;;;;;;;;
Renty razem, z tego:;671;702;164;680;761;;;;;;;;
    Renty z tytuàu niezdolnoòci do pracy razem;567;489;136;493;621;;;;;;;;
Renty z tytuàu niezdolnoòci do pracy razem w tym renty z tytuàu niezdolnoòci do pracy wypadkowe;9;14;5;13;14;;;;;;;;
    Renty rodzinne;104;213;28;187;140;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;TABLICA 8. WNIOSKI O PRZYZNANIE EMERYTUR I RENT ROLNICZYCH ROZPATRYWANE Z ZASTOSOWANIEM PRZEPIS‡W  WSP‡LNOTOWYCH UE
;;;;;;;;;;;;;                   
