województwo,Liczba wniosków pozostałych z poprzedniego okresu,Liczba zarejestrowanych wniosków,Liczba załatwionych wniosków,Liczba wniosków pozostałych do załatwienia w następnym okresie,okres
OGÓŁEM,11296,91839,79889,23246,2025-Q1
dolnośląskie,198,2829,2699,328,2025-Q1
kujawsko-pomorskie,978,6144,4814,2308,2025-Q1
lubelskie,1298,11551,10301,2548,2025-Q1
lubuskie,138,886,866,158,2025-Q1
łódzkie,801,8434,6743,2492,2025-Q1
małopolskie,1471,6510,6045,1936,2025-Q1
mazowieckie,1391,14845,12402,3834,2025-Q1
opolskie,162,1724,1367,519,2025-Q1
podkarpackie,754,4690,4127,1317,2025-Q1
podlaskie,915,9371,8726,1560,2025-Q1
pomorskie,520,2850,2345,1025,2025-Q1
śląskie,277,1930,1732,475,2025-Q1
świętokrzyskie,670,4719,4023,1366,2025-Q1
warmińsko-mazurskie,498,3705,3462,741,2025-Q1
wielkopolskie,1096,9644,8633,2107,2025-Q1
zachodniopomorskie,129,2007,1604,532,2025-Q1
