typ,2024-Q1,2024-Q4,2025-Q1
EMERYTURY I RENTY OGÓŁEM z tego:,5526089421.00,5940334227.74,6036176120.71
Emerytury OGÓŁEM,4374512274.70,4717591212.64,4797203284.42
Renty OGÓŁEM,1151577146.30,1222743015.10,1238972836.29
EMERYTURY RAZEM,4374512274.70,4717591212.64,4797203284.42
Emerytury rolnicze,4057145244.34,4414223711.05,4498868566.91
Emerytury za przekazane gospodarstwo rolne Państwu,49043938.82,46587414.09,45948554.59
Emerytury za przekazane gospodarstwo rolne następcy,255131265.00,242976809.98,238386815.03
Emerytury niezwiązane z przekazaniem gospodarstwa rolnego,13191826.54,13803277.52,13999347.89
RENTY RAZEM z tego:,1151577146.30,1222743015.10,1238972836.29
RENTY Z TYTUŁU NIEZDOLNOŚCI DO PRACY RAZEM,910879883.74,966527651.52,979116835.93
w tym renty z tytułu niezdolności do pracy wypadkowe,61892309.00,65629938.60,66096211.96
Renty rolnicze z tytułu niezdolności do pracy,902764682.38,958802623.26,971591980.38
Renty z tytułu niezdolności do pracy za przekazane gospodarstwo rolne Państwu,484057.51,442754.44,443894.28
Renty z tytułu niezdolności do pracy za przekazane gospodarstwo rolne następcy,1527942.90,1460002.45,1418607.69
Renty z tytułu niezdolności do pracy niezwiązane z przekazaniem gospodarstwa rolnego,6103200.95,5822271.37,5662353.58
RENTY RODZINNE RAZEM,240697262.56,256215363.58,259856000.36
w tym renty rodzinne wypadkowe,4739756.38,5021479.74,5054102.46
Renty rodzinne rolnicze,231670457.74,246784228.92,250425799.94
Renty rodzinne za przekazane gospodarstwo rolne Państwu,1874245.20,1918395.69,1862811.17
Renty rodzinne za przekazane gospodarstwo rolne następcy,4983708.58,5211725.76,5228968.91
Renty rodzinne niezwiązane z przekazaniem gospodarstwa rolnego,2168851.04,2301013.21,2338420.34
